States,Period,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andaman and Nicobar,Jan,25.45,27.03,26.65,26.53,26.91,26.39,26.14,26.85,26.42,26.28,26.66,26.84,25.7,27.14,26.53,26.78,26.83,25.88,26.29,26.8,26.95,26.79,27.3,27.56
Andaman and Nicobar,Feb,25.96,27.14,26.5,25.93,26.53,26.83,26.9,26.39,27.23,27.25,26.59,26.57,26.8,27.51,26.87,27,27.73,26.46,26.75,26.86,26.83,26.61,27.48,27.14
Andaman and Nicobar,Mar,27.07,27.68,27.38,26.9,27.13,27.42,27.15,27.49,27.69,27.58,27.3,27.29,27.67,28.11,26.39,27.53,27.84,27.54,27.86,28.29,27.78,27.63,27.88,27.9
Andaman and Nicobar,Apr,27.52,28.86,27.27,27.3,28.95,28.38,28.33,29.07,28.85,27.94,28.64,27.73,28.24,29.65,27.94,28.48,28.73,28.98,28.39,29.74,28.31,28.18,29.39,28.96
Andaman and Nicobar,May,28.26,28.86,26.97,27.41,27.19,27.52,27.97,27.45,28.25,26.98,27.29,26.66,27.64,29.5,27.81,27.94,28.4,28.74,28.78,28.6,28.39,27.74,29.06,29.28
Andaman and Nicobar,Jun,27.7,27.79,26.73,26.94,27,27.29,27.51,27.25,27.14,26.85,27.58,26.8,26.95,28.2,27.45,27.54,27.16,27.79,27.87,27.55,27.55,26.99,27.61,27.68
Andaman and Nicobar,Jul,26.75,27.41,26.54,27,26.93,27.23,26.71,26.89,26.93,27.06,26.91,26.59,27.03,27.24,26.72,27.18,26.54,27.16,27.71,27.82,27.44,27.19,27.81,27.62
Andaman and Nicobar,Aug,26.96,27.29,26.63,26.97,26.9,26.66,27.26,27.01,27.19,26.83,27.09,26.98,27.61,27.03,26.91,27.34,27.39,27.25,27.36,26.78,27.4,26.83,26.6,27.72
Andaman and Nicobar,Sep,26.99,26.78,26.79,26.98,27.01,26.44,26.98,27.05,26.91,26.56,26.84,26.88,27.25,27.14,26.58,26.49,26.76,26.97,26.85,26.51,27.63,26.91,26.57,27.19
Andaman and Nicobar,Oct,27.37,26.96,26.34,27.05,26.95,27.27,27.09,27.11,27.15,27.16,26.75,27.45,27.51,27.12,26.95,27.22,27.22,27.37,27.59,27.49,27.62,27.02,28.05,26.95
Andaman and Nicobar,Nov,27.42,27.11,26.94,27.27,26.46,27.27,28.2,28.02,27.34,28.08,26.73,27.2,27.86,27.61,28.36,28.01,27.96,28.1,28.19,28.2,27.96,28,27.97,28.14
Andaman and Nicobar,Dec,27.77,27.09,25.4,27.49,27.01,27.47,26.88,26.91,26.68,27.06,27.35,26.78,27.88,27.49,27.3,28.13,26.26,27.03,28.08,27.63,27.15,27.89,27.36,27.44
Andaman and Nicobar,Annual,27.1,27.5,26.68,26.98,27.08,27.18,27.26,27.29,27.32,27.14,27.14,26.98,27.35,27.81,27.15,27.47,27.4,27.44,27.65,27.69,27.58,27.32,27.76,27.8
Andaman and Nicobar,Winter,25.71,27.09,26.58,26.23,26.72,26.61,26.52,26.62,26.83,26.77,26.63,26.71,26.25,27.33,26.7,26.89,27.28,26.17,26.52,26.83,26.89,26.7,27.39,27.35
Andaman and Nicobar,Summer,27.62,28.47,27.21,27.2,27.76,27.77,27.82,28,28.26,27.5,27.74,27.23,27.85,29.09,27.38,27.98,28.32,28.42,28.34,28.88,28.16,27.85,28.78,28.71
Andaman and Nicobar,Monsoon,27.1,27.32,26.67,26.97,26.96,26.91,27.12,27.05,27.04,26.83,27.11,26.81,27.21,27.4,26.92,27.14,26.96,27.29,27.45,27.17,27.51,26.98,27.15,27.55
Andaman and Nicobar,Post Monsoon,27.52,27.05,26.23,27.27,26.81,27.34,27.39,27.35,27.06,27.43,26.94,27.14,27.75,27.41,27.54,27.79,27.15,27.5,27.95,27.77,27.58,27.64,27.79,27.51
Andhra Pradesh,Jan,22.57,24.6,22.73,23.98,23.77,23.67,23.62,23.42,24.07,23.63,24.05,23.97,24.54,23.7,23.22,23.66,24.26,23.98,23.13,24.21,23.8,23.63,23.14,24.12
Andhra Pradesh,Feb,25.2,26.49,26.45,25.99,26.69,26.25,26.8,25.52,26.31,26.39,26.14,25.69,27.33,26.69,25.87,26.22,26.35,25.62,25.98,27.62,26.48,26.32,26.62,26.26
Andhra Pradesh,Mar,28.89,29.15,29.57,28.49,29.33,29.46,29.12,29.75,29.23,28.58,29.16,28.74,29.49,30.34,28.98,29.31,29.15,28.42,28.55,30.17,29.47,29.59,29.78,29.05
Andhra Pradesh,Apr,29.87,32.04,32.36,32.39,31.17,32.19,32.05,32.13,31.26,31.53,31.72,31.05,32.15,32.84,30.58,31.99,31.63,31.69,30.58,33.02,32.7,31.76,32.5,31.55
Andhra Pradesh,May,32.69,33.81,32.01,32.44,33.46,33.79,33.89,31.79,32.93,32.49,33.57,33.4,33.05,33.44,32.86,33.56,33.8,32.54,33.15,33.08,33.65,33.1,33.91,33.18
Andhra Pradesh,Jun,31.36,32.03,29.98,29.5,29.94,30.35,31.9,30.13,31.72,30.71,30.52,30.16,31.72,31.12,30.35,31.47,29.59,32.31,30.1,30.42,30.57,30.64,32.42,30.29
Andhra Pradesh,Jul,29,28.92,28.32,28,28.79,29.4,28.22,28.54,28.5,28.75,28.91,28.71,28.84,28.17,28.54,28.36,27.53,28.98,29.19,28.49,28.85,28.32,28.96,28.89
Andhra Pradesh,Aug,28.23,28.29,27.9,27.78,27.76,27.58,27.87,28,28.21,27.91,28.02,27.8,28.82,28.26,28.16,27.75,27.56,28.54,28.64,28.46,28.32,27.77,28.19,27.85
Andhra Pradesh,Sep,28.01,28.08,27.65,28.18,28.71,28.23,27.91,28.09,27.92,28.27,27.95,27.92,28.63,27.94,28.28,28.13,28.11,28.17,28.68,27.87,28.68,28.22,27.84,28.49
Andhra Pradesh,Oct,27.15,27.3,27.08,27.58,27.07,27.34,27.05,26.7,26.91,27.44,26.94,27.32,27.16,27.51,27.93,27.07,27.22,27.53,28.13,27.2,27.94,27.69,27.25,27.72
Andhra Pradesh,Nov,25.98,25.31,24.82,25.26,25.6,24.63,25.21,24.9,23.89,25.42,24.85,25.54,25.48,25.91,25.28,25.03,25,25.31,25.8,24.67,25.39,25.78,25.95,25.53
Andhra Pradesh,Dec,24.36,22.5,22.73,22.69,23.37,23.69,23.13,23.17,22.93,23.89,23.95,24.38,23.89,23.02,23.68,24.19,23.2,23.1,24.72,23.54,23.63,23.49,23.85,23.76
